V,t
2.66249257244,3.85
2.67586764672,3.86
2.68910897025,3.87
2.70221788055,3.88
2.71519570174,3.89
2.72804374472,3.9
2.74076330728,3.91
2.7533556742,3.92
2.76582211746,3.93
2.77816389629,3.94
2.79038225732,3.95
2.80247843475,3.96
2.8144536504,3.97
2.8263091139,3.98
2.83804602276,3.99
2.84966556253,4.0
2.86116890691,4.01
2.87255721784,4.02
2.88383164566,4.03
2.8949933292,4.04
2.90604339591,4.05
2.91698296195,4.06
2.92781313233,4.07
2.93853500101,4.08
2.949149651,4.09
2.95965815449,4.1
2.97006157294,4.11
2.98036095721,4.12
2.99055734764,4.13
0.0,4.14
0.04,4.15
0.0796,4.16
0.118804,4.17
0.15761596,4.18
0.1960398004,4.19
0.234079402396,4.2
0.271738608372,4.21
0.309021222288,4.22
0.345931010065,4.23
0.382471699965,4.24
0.418646982965,4.25
0.454460513135,4.26
0.489915908004,4.27
0.525016748924,4.28
0.559766581435,4.29
0.59416891562,4.3
0.628227226464,4.31
0.6619449542,4.32
0.695325504658,4.33
0.728372249611,4.34
0.761088527115,4.35
0.793477641844,4.36
0.825542865425,4.37
0.857287436771,4.38
0.888714562403,4.39
0.919827416779,4.4
0.950629142612,4.41
0.981122851185,4.42
1.01131162267,4.43
1.04119850645,4.44
1.07078652138,4.45
1.10007865617,4.46
1.12907786961,4.47
1.15778709091,4.48
1.18620922,4.49
1.2143471278,4.5
1.24220365652,4.51
1.26978161996,4.52
1.29708380376,4.53
1.32411296572,4.54
1.35087183606,4.55
1.3773631177,4.56
1.40358948653,4.57
1.42955359166,4.58
1.45525805574,4.59
1.48070547519,4.6
1.50589842044,4.61
1.53083943623,4.62
1.55553104187,4.63
1.57997573145,4.64
1.60417597414,4.65
1.62813421439,4.66
1.65185287225,4.67
1.67533434353,4.68
1.69858100009,4.69
1.72159519009,4.7
1.74437923819,4.71
1.76693544581,4.72
1.78926609135,4.73
1.81137343044,4.74
1.83325969613,4.75
1.85492709917,4.76
1.87637782818,4.77
1.8976140499,4.78
1.9186379094,4.79
1.9394515303,4.8
1.960057015,4.81
1.98045644485,4.82
2.0006518804,4.83
2.0206453616,4.84
2.04043890798,4.85
2.0600345189,4.86
2.07943417371,4.87
2.09863983198,4.88
2.11765343366,4.89
2.13647689932,4.9
2.15511213033,4.91
2.17356100902,4.92
2.19182539893,4.93
2.20990714494,4.94
2.2278080735,4.95
2.24552999276,4.96
2.26307469283,4.97
2.2804439459,4.98
2.29763950645,4.99
2.31466311138,5.0
2.33151648027,5.01
2.34820131546,5.02
2.36471930231,5.03
2.38107210929,5.04
2.39726138819,5.05
2.41328877431,5.06
2.42915588657,5.07
2.4448643277,5.08
2.46041568443,5.09
2.47581152758,5.1
2.49105341231,5.11
2.50614287818,5.12
2.5210814494,5.13
2.53587063491,5.14
2.55051192856,5.15
2.56500680927,5.16
2.57935674118,5.17
2.59356317377,5.18
2.60762754203,5.19
2.62155126661,5.2
2.63533575394,5.21
2.6489823964,5.22
2.66249257244,5.23
2.67586764672,5.24
2.68910897025,5.25
2.70221788055,5.26
2.71519570174,5.27
2.72804374472,5.28
2.74076330728,5.29
2.7533556742,5.3
2.76582211746,5.31
2.77816389629,5.32
2.79038225732,5.33
2.80247843475,5.34
2.8144536504,5.35
2.8263091139,5.36
2.83804602276,5.37
2.84966556253,5.38
2.86116890691,5.39
2.87255721784,5.4
2.88383164566,5.41
2.8949933292,5.42
2.90604339591,5.43
2.91698296195,5.44
2.92781313233,5.45
2.93853500101,5.46
2.949149651,5.47
2.95965815449,5.48
2.97006157294,5.49
2.98036095721,5.5
2.99055734764,5.51
0.0,5.52
0.04,5.53
0.0796,5.54
0.118804,5.55
0.15761596,5.56
0.1960398004,5.57
0.234079402396,5.58
0.271738608372,5.59
0.309021222288,5.6
0.345931010065,5.61
0.382471699965,5.62
0.418646982965,5.63
0.454460513135,5.64
0.489915908004,5.65
0.525016748924,5.66
0.559766581435,5.67
0.59416891562,5.68
0.628227226464,5.69
0.6619449542,5.7
0.695325504658,5.71
0.728372249611,5.72
